Condition,Replicate,Well,Percent_Positive,Growth_Rate,Colony_Morphology,Fluorescence_Intensity
Drug_0.1uM,1,8,49.97216798745601,1.293,monolayered,252.36
Drug_0.1uM,1,9,45.83404191,1.232,monolayered,194.6
Drug_0.1uM,1,10,51.82691649568947,1.307,multilayered,833.26
Drug_0.1uM,1,11,52.97983184113144,1.262,multilayered,80.88
Drug_0.1uM,1,12,47.40810200338035,1.199,monolayered,137.58
Drug_0.1uM,1,13,55.95419956715115,1.241,monolayered,222.59
Drug_0.1uM,1,14,46.26747823288968,1.22,multilayered,175.13
Drug_0.1uM,1,15,41.869164482092174,1.055,monolayered,297.68
Drug_0.1uM,1,16,55.42910598559291,1.336,multilayered,142.17
Drug_0.1uM,1,17,49.24215498092863,1.198,multilayered,658.35
Drug_0.1uM,1,18,50.431175294821124,1.195,monolayered,139.78
Drug_0.1uM,1,19,47.380827419281026,1.189,multilayered,121.59
Drug_0.1uM,1,20,44.08628053,1.246,monolayered,189.25
Drug_0.1uM,2,1,56.353059915022016,1.202,monolayered,252.45
Drug_0.1uM,2,2,48.01812258723213,1.386,multilayered,175.34
Drug_0.1uM,2,3,58.09247608863572,1.419,monolayered,287.21
Drug_0.1uM,2,4,54.432659985724065,1.064,monolayered,220.68
Drug_0.1uM,2,5,49.62204223256103,1.234,multilayered,280.27
Drug_0.1uM,2,6,46.31592731613657,1.297,monolayered,377.77
Drug_0.1uM,2,7,47.83122697564217,1.318,multilayered,798.81
Drug_0.1uM,2,8,45.77306820555762,1.09,multilayered,311.7
Drug_0.1uM,2,9,59.91954904652749,1.201,multilayered,574.47
Drug_0.1uM,2,10,51.67650636039152,1.04,multilayered,194.15
Drug_0.1uM,2,11,55.90275855431532,1.047,monolayered,363.44
Drug_0.1uM,2,12,45.53800102800442,1.405,monolayered,299.93
Drug_0.1uM,2,13,51.747649130250444,1.175,multilayered,263.3
Drug_0.1uM,2,14,56.021329397180764,1.288,monolayered,663.42
Drug_0.1uM,2,15,49.535213506446695,1.173,monolayered,40.67
Drug_0.1uM,2,16,55.392181180841995,1.333,multilayered,167.1
Drug_0.1uM,2,17,46.321648650846456,0.993,multilayered,239.4
Drug_0.1uM,2,18,45.12590939096907,1.192,multilayered,226.95
Drug_0.1uM,2,19,52.59809842,1.194,monolayered,108.59
Drug_0.1uM,2,20,49.34586269656571,1.152,multilayered,173.09
Drug_0.1uM,3,1,53.72417120674792,1.189,monolayered,125.75
Drug_0.1uM,3,2,42.491731453421444,0.972,monolayered,261.3
Drug_0.1uM,3,3,54.02518123059438,1.189,multilayered,293.77
Drug_0.1uM,3,4,62.11116851497626,1.258,multilayered,132.79
Drug_0.1uM,3,5,50.865921408087175,1.364,multilayered,16.69
Drug_0.1uM,3,6,51.11787702481978,1.101,monolayered,453.77
Drug_0.1uM,3,7,51.74127974744153,1.039,monolayered,535.52
Drug_0.1uM,3,8,42.98868013683011,1.195,monolayered,215.52
Drug_0.1uM,3,9,52.79851194232889,1.369,monolayered,93.6
Drug_0.1uM,3,10,44.08865146509222,1.2,multilayered,116.07
Drug_0.1uM,3,11,49.137915828526886,1.112,multilayered,369.55
Drug_0.1uM,3,12,56.30003552836447,1.164,multilayered,480.17
Drug_0.1uM,3,13,47.819415637739866,1.151,monolayered,143.99
Drug_0.1uM,3,14,53.120497093313816,0.95,multilayered,158.59
Drug_0.1uM,3,15,55.31340058939756,1.109,multilayered,206.52
Drug_0.1uM,3,16,52.16654139061723,1.253,monolayered,306.81
Drug_0.1uM,3,17,45.09385368322836,1.254,multilayered,46.05
Drug_0.1uM,3,18,49.54608385912052,1.154,multilayered,101.83
Drug_0.1uM,3,19,59.37205414981011,1.034,multilayered,395.17
Drug_0.1uM,3,20,42.289552406918894,1.14,monolayered,49.8
Drug_1uM,1,1,51.86268338035566,1.544,multilayered,367.27
Drug_1uM,1,2,55.06135140249145,1.417,multilayered,98.61
Drug_1uM,1,3,52.82178764782289,1.384,monolayered,267.15
Drug_1uM,1,4,53.68617389,1.368,multilayered,272.68
Drug_1uM,1,5,49.60852179717688,1.608,multilayered,310.42
Drug_1uM,1,6,52.573272996920956,1.332,multilayered,482.07
Drug_1uM,1,7,56.84856783096739,1.568,monolayered,253.58
Drug_1uM,1,8,51.25488153736863,1.312,multilayered,445.67
Drug_1uM,1,9,53.39041639213483,1.514,multilayered,59.07
Drug_1uM,1,10,61.747224737016246,1.351,multilayered,577.69
Drug_1uM,1,11,54.31634020441199,1.314,monolayered,447.73
Drug_1uM,1,12,50.18821694692088,1.529,multilayered,336.21
Drug_1uM,1,13,58.91332882,1.308,monolayered,427.11
Drug_1uM,1,14,57.63257651870093,1.294,multilayered,500.59
Drug_1uM,1,15,57.729103746645734,1.55,multilayered,39.53
Drug_1uM,1,16,55.22202793611647,1.578,multilayered,1190.85
Drug_1uM,1,17,55.03999833739984,1.447,multilayered,126.04
Drug_1uM,1,18,59.91113395832081,1.391,multilayered,822.3
Drug_1uM,1,19,52.91001343,1.509,monolayered,260.95
Drug_1uM,1,20,58.30326196931105,1.485,monolayered,225.05
Drug_1uM,2,1,55.28886905,1.27,multilayered,74.16
Drug_1uM,2,2,57.42769487315502,1.399,multilayered,202.83
Drug_1uM,2,3,54.27897781,1.47,multilayered,207.89
Drug_1uM,2,4,52.91264071536811,1.32,multilayered,363.99
Drug_1uM,2,5,50.65588503635926,1.406,multilayered,1152.77
Drug_1uM,2,6,50.277375269482874,1.657,multilayered,404.63
Drug_1uM,2,7,58.83265015813656,1.55,monolayered,203.8
Drug_1uM,2,8,50.58488021335487,1.429,multilayered,78.49
Drug_1uM,2,9,56.33484494639467,1.322,multilayered,64.49
Drug_1uM,2,10,52.744916629271415,1.391,monolayered,236.76
Drug_1uM,2,11,50.682268430204296,1.287,monolayered,417.41
Drug_1uM,2,12,58.66369545944555,1.365,monolayered,225.6
Drug_1uM,2,13,60.84790717087416,1.444,monolayered,414.5
Drug_1uM,2,14,45.77884007841345,1.233,monolayered,101.29
Drug_1uM,2,15,54.52484443211239,1.505,multilayered,161.82
Drug_1uM,2,16,56.65619624893387,1.525,monolayered,41
Drug_1uM,2,17,54.32798419255962,1.39,multilayered,293.13
Drug_1uM,2,18,63.92931865933864,1.616,multilayered,244.05
Drug_1uM,2,19,63.76653800221114,1.382,monolayered,284.57
Drug_1uM,2,20,55.67288784998971,1.237,monolayered,270.04
Drug_1uM,3,1,50.798831454142984,1.447,multilayered,506.94
Drug_1uM,3,2,50.31283055984698,1.384,multilayered,694.12
Drug_1uM,3,3,45.22748794293028,1.403,monolayered,147.47
Drug_1uM,3,4,59.00603751949612,1.248,multilayered,290.46
Drug_1uM,3,5,49.894540403354064,1.505,monolayered,104.64
Drug_1uM,3,6,56.931936290467476,1.461,multilayered,195.54
Drug_1uM,3,7,57.25111123336368,1.39,monolayered,1145.66
Drug_1uM,3,8,51.947694633066035,1.598,monolayered,299.97
Drug_1uM,3,9,50.58743717887338,1.344,multilayered,413.63
Drug_1uM,3,10,53.66600748545782,1.268,multilayered,476.65
Drug_1uM,3,11,52.94870287614263,1.461,multilayered,331.09
Drug_1uM,3,12,58.591362033846195,1.247,multilayered,517.27
Drug_1uM,3,13,63.160231429580925,1.421,multilayered,342.77
Drug_1uM,3,14,55.48100198045186,1.445,monolayered,276.83
Drug_1uM,3,15,58.00369173998033,1.468,multilayered,242.42
Drug_1uM,3,16,49.021215185033846,1.259,multilayered,463.97
Drug_1uM,3,17,60.58631710179342,1.352,monolayered,295.53
Drug_1uM,3,18,65.00079568312246,1.335,monolayered,277.06
Drug_1uM,3,19,56.746607815569526,1.489,multilayered,305.36
Drug_1uM,3,20,50.526598456337666,1.522,multilayered,259.22
Drug_10uM,1,1,61.58,1.564,multilayered,1011.71
Drug_10uM,1,2,56.59,1.57,multilayered,40.68
Drug_10uM,1,3,60.98,1.523,monolayered,101.61
Drug_10uM,1,4,55.33,1.583,multilayered,81.5
Drug_10uM,1,5,60.87,1.667,multilayered,240.54
Drug_10uM,1,6,70.84,1.548,multilayered,713.66
Drug_10uM,1,7,62.01,1.719,monolayered,145.77
Drug_10uM,1,8,63.13,1.634,multilayered,84.65
Drug_10uM,1,9,63.12,1.448,monolayered,291.39
Drug_10uM,1,10,60.8,1.654,multilayered,283.27
Drug_10uM,1,11,70.42,1.52,multilayered,217.28
Drug_10uM,1,12,69.42,1.669,multilayered,107.39
Drug_10uM,1,13,59.7,1.719,monolayered,246.83
Drug_10uM,1,14,71.03,1.436,monolayered,322.51
Drug_10uM,1,15,67.31,1.711,multilayered,382.71
Drug_10uM,1,16,67.03,1.701,multilayered,415.6
Drug_10uM,1,17,72.66,1.615,multilayered,219.01
Drug_10uM,1,18,61.55,1.577,multilayered,358.62
Drug_10uM,1,19,65.02,1.605,monolayered,288.86
Drug_10uM,1,20,68.77,1.627,multilayered,69.09
Drug_10uM,2,1,62.99,1.628,multilayered,232
Drug_10uM,2,2,65.88,1.564,monolayered,337.75
Drug_10uM,2,3,65.87,1.448,multilayered,560.17
Drug_10uM,2,4,66.84,1.587,monolayered,161.38
Drug_10uM,2,5,54.82,1.788,multilayered,157.16
Drug_10uM,2,6,58.85,1.712,multilayered,217.14
Drug_10uM,2,7,71.55,1.59,monolayered,398.23
Drug_10uM,2,8,58.86,1.579,monolayered,467.3
Drug_10uM,2,9,58.74,1.634,multilayered,646.76
Drug_10uM,2,10,67.28,1.661,multilayered,350.06
Drug_10uM,2,11,65.98,1.532,multilayered,413.97
Drug_10uM,2,12,74,1.599,monolayered,132.23
Drug_10uM,2,13,69.2,1.555,monolayered,143.72
Drug_10uM,2,14,52.88,1.491,multilayered,505.2
Drug_10uM,2,15,60.17,1.6,monolayered,240.87
Drug_10uM,2,16,59.21,1.778,multilayered,366.04
Drug_10uM,2,17,66.04,1.5,monolayered,26.43
Drug_10uM,2,18,63.59,1.662,multilayered,494.55
Drug_10uM,2,19,72,1.606,monolayered,475.2
Drug_10uM,2,20,61.77,1.668,multilayered,334.15
Drug_10uM,3,1,70.25,1.732,monolayered,160.02
Drug_10uM,3,2,65.99,1.818,multilayered,336.05
Drug_10uM,3,3,61.74,1.652,multilayered,167.52
Drug_10uM,3,4,62.13,1.59,multilayered,1375.91
Drug_10uM,3,5,65.19,1.574,monolayered,273.97
Drug_10uM,3,6,56.66,1.687,multilayered,477.66
Drug_10uM,3,7,58.87,1.622,multilayered,60.13
Drug_10uM,3,8,70.24,1.778,multilayered,230.14
Drug_10uM,3,9,64.14,1.748,monolayered,463.13
Drug_10uM,3,10,71.9,1.531,multilayered,336.12
Drug_10uM,3,11,62.25,1.597,multilayered,141.19
Drug_10uM,3,12,70.86,1.706,monolayered,220.86
Drug_10uM,3,13,70.74,1.471,monolayered,41.78
Drug_10uM,3,14,70.8,1.573,multilayered,53.53
Drug_10uM,3,15,65.38,1.444,monolayered,74.76
Drug_10uM,3,16,62.86,1.652,multilayered,120.26
Drug_10uM,3,17,63.39,1.703,multilayered,906.35
Drug_10uM,3,18,66.19,1.545,monolayered,191.89
Drug_10uM,3,19,68.64,1.673,monolayered,260.19
Drug_10uM,3,20,64.6,1.601,monolayered,152.44
